pin,bank,site,tile,pin_function
G13,15,IOB_X0Y99,LIOB33_SING_X0Y99,IO_0_15
A13,15,IOB_X0Y97,LIOB33_X0Y97,IO_L1N_T0_AD0N_15
B13,15,IOB_X0Y98,LIOB33_X0Y97,IO_L1P_T0_AD0P_15
A14,15,IOB_X0Y95,LIOB33_X0Y95,IO_L2N_T0_AD8N_15
B14,15,IOB_X0Y96,LIOB33_X0Y95,IO_L2P_T0_AD8P_15
A15,15,IOB_X0Y93,LIOB33_X0Y93,IO_L3N_T0_DQS_AD1N_15
B15,15,IOB_X0Y94,LIOB33_X0Y93,IO_L3P_T0_DQS_AD1P_15
A16,15,IOB_X0Y91,LIOB33_X0Y91,IO_L4N_T0_AD9N_15
B16,15,IOB_X0Y92,LIOB33_X0Y91,IO_L4P_T0_AD9P_15
D12,15,IOB_X0Y89,LIOB33_X0Y89,IO_L5N_T0_AD2N_15
E12,15,IOB_X0Y90,LIOB33_X0Y89,IO_L5P_T0_AD2P_15
C14,15,IOB_X0Y87,LIOB33_X0Y87,IO_L6N_T0_VREF_15
C13,15,IOB_X0Y88,LIOB33_X0Y87,IO_L6P_T0_15
A17,15,IOB_X0Y85,LIOB33_X0Y85,IO_L7N_T1_AD10N_15
B17,15,IOB_X0Y86,LIOB33_X0Y85,IO_L7P_T1_AD10P_15
B18,15,IOB_X0Y83,LIOB33_X0Y83,IO_L8N_T1_AD3N_15
C17,15,IOB_X0Y84,LIOB33_X0Y83,IO_L8P_T1_AD3P_15
D17,15,IOB_X0Y81,LIOB33_X0Y81,IO_L9N_T1_DQS_AD11N_15
D16,15,IOB_X0Y82,LIOB33_X0Y81,IO_L9P_T1_DQS_AD11P_15
E17,15,IOB_X0Y79,LIOB33_X0Y79,IO_L10N_T1_AD4N_15
E16,15,IOB_X0Y80,LIOB33_X0Y79,IO_L10P_T1_AD4P_15
C18,15,IOB_X0Y77,LIOB33_X0Y77,IO_L11N_T1_SRCC_AD12N_15
D18,15,IOB_X0Y78,LIOB33_X0Y77,IO_L11P_T1_SRCC_AD12P_15
D15,15,IOB_X0Y75,LIOB33_X0Y75,IO_L12N_T1_MRCC_AD5N_15
D14,15,IOB_X0Y76,LIOB33_X0Y75,IO_L12P_T1_MRCC_AD5P_15
F15,15,IOB_X0Y73,LIOB33_X0Y73,IO_L13N_T2_MRCC_15
F14,15,IOB_X0Y74,LIOB33_X0Y73,IO_L13P_T2_MRCC_15
G17,15,IOB_X0Y71,LIOB33_X0Y71,IO_L14N_T2_SRCC_15
G16,15,IOB_X0Y72,LIOB33_X0Y71,IO_L14P_T2_SRCC_15
E15,15,IOB_X0Y69,LIOB33_X0Y69,IO_L15N_T2_DQS_15
E14,15,IOB_X0Y70,LIOB33_X0Y69,IO_L15P_T2_DQS_15
E18,15,IOB_X0Y67,LIOB33_X0Y67,IO_L16N_T2_15
F18,15,IOB_X0Y68,LIOB33_X0Y67,IO_L16P_T2_15
E13,15,IOB_X0Y65,LIOB33_X0Y65,IO_L17N_T2_15
F13,15,IOB_X0Y66,LIOB33_X0Y65,IO_L17P_T2_15
G15,15,IOB_X0Y63,LIOB33_X0Y63,IO_L18N_T2_15
H15,15,IOB_X0Y64,LIOB33_X0Y63,IO_L18P_T2_15
J16,15,IOB_X0Y61,LIOB33_X0Y61,IO_L19N_T3_VREF_15
K16,15,IOB_X0Y62,LIOB33_X0Y61,IO_L19P_T3_15
H14,15,IOB_X0Y59,LIOB33_X0Y59,IO_L20N_T3_15
H13,15,IOB_X0Y60,LIOB33_X0Y59,IO_L20P_T3_15
G18,15,IOB_X0Y57,LIOB33_X0Y57,IO_L21N_T3_DQS_15
H18,15,IOB_X0Y58,LIOB33_X0Y57,IO_L21P_T3_DQS_15
H17,15,IOB_X0Y55,LIOB33_X0Y55,IO_L22N_T3_15
H16,15,IOB_X0Y56,LIOB33_X0Y55,IO_L22P_T3_15
J15,15,IOB_X0Y53,LIOB33_X0Y53,IO_L23N_T3_15
K14,15,IOB_X0Y54,LIOB33_X0Y53,IO_L23P_T3_15
J14,15,IOB_X0Y51,LIOB33_X0Y51,IO_L24N_T3_RS0_15
J13,15,IOB_X0Y52,LIOB33_X0Y51,IO_L24P_T3_RS1_15
K13,15,IOB_X0Y50,LIOB33_SING_X0Y50,IO_25_15
L13,14,IOB_X0Y49,LIOB33_SING_X0Y49,IO_0_14
J6,34,IOB_X1Y49,RIOB33_SING_X31Y49,IO_0_34
K18,14,IOB_X0Y47,LIOB33_X0Y47,IO_L1N_T0_D01_DIN_14
K17,14,IOB_X0Y48,LIOB33_X0Y47,IO_L1P_T0_D00_MOSI_14
L4,34,IOB_X1Y47,RIOB33_X31Y47,IO_L1N_T0_34
K4,34,IOB_X1Y48,RIOB33_X31Y47,IO_L1P_T0_34
M15,14,IOB_X0Y45,LIOB33_X0Y45,IO_L2N_T0_D03_14
L14,14,IOB_X0Y46,LIOB33_X0Y45,IO_L2P_T0_D02_14
K2,34,IOB_X1Y45,RIOB33_X31Y45,IO_L2N_T0_34
K3,34,IOB_X1Y46,RIOB33_X31Y45,IO_L2P_T0_34
L16,14,IOB_X0Y43,LIOB33_X0Y43,IO_L3N_T0_DQS_EMCCLK_14
L15,14,IOB_X0Y44,LIOB33_X0Y43,IO_L3P_T0_DQS_PUDC_B_14
L1,34,IOB_X1Y43,RIOB33_X31Y43,IO_L3N_T0_DQS_34
K1,34,IOB_X1Y44,RIOB33_X31Y43,IO_L3P_T0_DQS_34
L18,14,IOB_X0Y41,LIOB33_X0Y41,IO_L4N_T0_D05_14
L17,14,IOB_X0Y42,LIOB33_X0Y41,IO_L4P_T0_D04_14
L6,34,IOB_X1Y41,RIOB33_X31Y41,IO_L4N_T0_34
K6,34,IOB_X1Y42,RIOB33_X31Y41,IO_L4P_T0_34
