pin,bank,site,tile,pin_function
A2,34,IOB_X1Y101,RIOB18_X79Y101,IO_L24N_T3_34
A3,34,IOB_X1Y105,RIOB18_X79Y105,IO_L22N_T3_34
A4,34,IOB_X1Y106,RIOB18_X79Y105,IO_L22P_T3_34
A5,34,IOB_X1Y107,RIOB18_X79Y107,IO_L21N_T3_DQS_34
A7,34,IOB_X1Y113,RIOB18_X79Y113,IO_L18N_T2_34
A8,34,IOB_X1Y115,RIOB18_X79Y115,IO_L17N_T2_34
A9,34,IOB_X1Y116,RIOB18_X79Y115,IO_L17P_T2_34
A10,34,IOB_X1Y117,RIOB18_X79Y117,IO_L16N_T2_34
A12,35,IOB_X1Y151,RIOB18_X79Y151,IO_L24N_T3_AD15N_35
A13,35,IOB_X1Y152,RIOB18_X79Y151,IO_L24P_T3_AD15P_35
A14,35,IOB_X1Y157,RIOB18_X79Y157,IO_L21N_T3_DQS_AD14N_35
A15,35,IOB_X1Y158,RIOB18_X79Y157,IO_L21P_T3_DQS_AD14P_35
A17,35,IOB_X1Y163,RIOB18_X79Y163,IO_L18N_T2_AD13N_35
A18,501,IOPAD_X1Y126,PSS2_X32Y157,PS_MIO49_501
A19,501,IOPAD_X1Y130,PSS2_X32Y157,PS_MIO53_501
A20,501,IOPAD_X1Y129,PSS2_X32Y157,PS_MIO52_501
A22,501,IOPAD_X1Y134,PSS2_X32Y157,PS_SRST_B_501
A23,500,IOPAD_X1Y89,PSS2_X32Y157,PS_MIO12_500
A24,500,IOPAD_X1Y85,PSS2_X32Y157,PS_MIO8_500
A25,500,IOPAD_X1Y87,PSS2_X32Y157,PS_MIO10_500
AA1,112,OPAD_X0Y0,GTX_CHANNEL_0_X186Y6,MGTXTXN0_112
AA2,112,OPAD_X0Y1,GTX_CHANNEL_0_X186Y6,MGTXTXP0_112
AA10,12,IOB_X0Y43,LIOB33_X0Y43,IO_L3N_T0_DQS_12
AA12,12,IOB_X0Y37,LIOB33_X0Y37,IO_L6N_T0_VREF_12
AA13,12,IOB_X0Y38,LIOB33_X0Y37,IO_L6P_T0_12
AA14,12,IOB_X0Y5,LIOB33_X0Y5,IO_L22N_T3_12
AA15,12,IOB_X0Y6,LIOB33_X0Y5,IO_L22P_T3_12
AA17,12,IOB_X0Y11,LIOB33_X0Y11,IO_L19N_T3_VREF_12
AA18,13,IOB_X0Y51,LIOB33_X0Y51,IO_L24N_T3_13
AA19,13,IOB_X0Y56,LIOB33_X0Y55,IO_L22P_T3_13
AA20,13,IOB_X0Y60,LIOB33_X0Y59,IO_L20P_T3_13
AA22,13,IOB_X0Y80,LIOB33_X0Y79,IO_L10P_T1_13
AA23,13,IOB_X0Y79,LIOB33_X0Y79,IO_L10N_T1_13
AA24,13,IOB_X0Y88,LIOB33_X0Y87,IO_L6P_T0_13
AA25,13,IOB_X0Y98,LIOB33_X0Y97,IO_L1P_T0_13
AB3,112,IPAD_X1Y0,GTX_CHANNEL_0_X186Y6,MGTXRXN0_112
AB4,112,IPAD_X1Y1,GTX_CHANNEL_0_X186Y6,MGTXRXP0_112
AB10,12,IOB_X0Y41,LIOB33_X0Y41,IO_L4N_T0_12
AB11,12,IOB_X0Y42,LIOB33_X0Y41,IO_L4P_T0_12
AB12,12,IOB_X0Y46,LIOB33_X0Y45,IO_L2P_T0_12
AB14,12,IOB_X0Y21,LIOB33_X0Y21,IO_L14N_T2_SRCC_12
AB15,12,IOB_X0Y22,LIOB33_X0Y21,IO_L14P_T2_SRCC_12
AB16,12,IOB_X0Y9,LIOB33_X0Y9,IO_L20N_T3_12
AB17,12,IOB_X0Y10,LIOB33_X0Y9,IO_L20P_T3_12
AB19,13,IOB_X0Y55,LIOB33_X0Y55,IO_L22N_T3_13
AB20,13,IOB_X0Y59,LIOB33_X0Y59,IO_L20N_T3_13
AB21,13,IOB_X0Y82,LIOB33_X0Y81,IO_L9P_T1_DQS_13
AB22,13,IOB_X0Y81,LIOB33_X0Y81,IO_L9N_T1_DQS_13
AB24,13,IOB_X0Y87,LIOB33_X0Y87,IO_L6N_T0_VREF_13
AB25,13,IOB_X0Y97,LIOB33_X0Y97,IO_L1N_T0_13
AB26,13,IOB_X0Y96,LIOB33_X0Y95,IO_L2P_T0_13
AC11,12,IOB_X0Y45,LIOB33_X0Y45,IO_L2N_T0_12
AC12,12,IOB_X0Y28,LIOB33_X0Y27,IO_L11P_T1_SRCC_12
AC13,12,IOB_X0Y26,LIOB33_X0Y25,IO_L12P_T1_MRCC_12
AC14,12,IOB_X0Y24,LIOB33_X0Y23,IO_L13P_T2_MRCC_12
AC16,12,IOB_X0Y7,LIOB33_X0Y7,IO_L21N_T3_DQS_12
AC17,12,IOB_X0Y8,LIOB33_X0Y7,IO_L21P_T3_DQS_12
AC18,13,IOB_X0Y58,LIOB33_X0Y57,IO_L21P_T3_DQS_13
AC19,13,IOB_X0Y57,LIOB33_X0Y57,IO_L21N_T3_DQS_13
