pin,bank,site,tile,pin_function
A2,34,IOB_X1Y45,RIOB33_X27Y45,IO_L2N_T0_34
A3,34,IOB_X1Y47,RIOB33_X27Y47,IO_L1N_T0_34
A4,34,IOB_X1Y48,RIOB33_X27Y47,IO_L1P_T0_34
B1,34,IOB_X1Y41,RIOB33_X27Y41,IO_L4N_T0_34
B2,34,IOB_X1Y46,RIOB33_X27Y45,IO_L2P_T0_34
B3,34,IOB_X1Y43,RIOB33_X27Y43,IO_L3N_T0_DQS_34
B4,34,IOB_X1Y44,RIOB33_X27Y43,IO_L3P_T0_DQS_34
B5,34,IOB_X1Y39,RIOB33_X27Y39,IO_L5N_T0_34
C1,34,IOB_X1Y42,RIOB33_X27Y41,IO_L4P_T0_34
C4,34,IOB_X1Y35,RIOB33_X27Y35,IO_L7N_T1_34
C5,34,IOB_X1Y40,RIOB33_X27Y39,IO_L5P_T0_34
D1,34,IOB_X1Y37,RIOB33_X27Y37,IO_L6N_T0_VREF_34
D2,34,IOB_X1Y38,RIOB33_X27Y37,IO_L6P_T0_34
D3,34,IOB_X1Y31,RIOB33_X27Y31,IO_L9N_T1_DQS_34
D4,34,IOB_X1Y36,RIOB33_X27Y35,IO_L7P_T1_34
E1,34,IOB_X1Y33,RIOB33_X27Y33,IO_L8N_T1_34
E2,34,IOB_X1Y34,RIOB33_X27Y33,IO_L8P_T1_34
E3,34,IOB_X1Y32,RIOB33_X27Y31,IO_L9P_T1_DQS_34
F1,34,IOB_X1Y29,RIOB33_X27Y29,IO_L10N_T1_34
F2,34,IOB_X1Y30,RIOB33_X27Y29,IO_L10P_T1_34
F3,34,IOB_X1Y27,RIOB33_X27Y27,IO_L11N_T1_SRCC_34
F4,34,IOB_X1Y28,RIOB33_X27Y27,IO_L11P_T1_SRCC_34
G1,34,IOB_X1Y25,RIOB33_X27Y25,IO_L12N_T1_MRCC_34
G4,34,IOB_X1Y49,RIOB33_SING_X27Y49,IO_0_34
H1,34,IOB_X1Y26,RIOB33_X27Y25,IO_L12P_T1_MRCC_34
H14,14,IOB_X0Y48,LIOB33_X0Y47,IO_L1P_T0_D00_MOSI_14
H15,14,IOB_X0Y47,LIOB33_X0Y47,IO_L1N_T0_D01_DIN_14
H2,34,IOB_X1Y21,RIOB33_X27Y21,IO_L14N_T2_SRCC_34
H3,34,IOB_X1Y23,RIOB33_X27Y23,IO_L13N_T2_MRCC_34
H4,34,IOB_X1Y24,RIOB33_X27Y23,IO_L13P_T2_MRCC_34
J1,34,IOB_X1Y17,RIOB33_X27Y17,IO_L16N_T2_34
J11,14,IOB_X0Y49,LIOB33_SING_X0Y49,IO_0_14
J12,14,IOB_X0Y46,LIOB33_X0Y45,IO_L2P_T0_D02_14
J15,14,IOB_X0Y40,LIOB33_X0Y39,IO_L5P_T0_D06_14
J2,34,IOB_X1Y22,RIOB33_X27Y21,IO_L14P_T2_SRCC_34
J3,34,IOB_X1Y19,RIOB33_X27Y19,IO_L15N_T2_DQS_34
J4,34,IOB_X1Y20,RIOB33_X27Y19,IO_L15P_T2_DQS_34
K1,34,IOB_X1Y18,RIOB33_X27Y17,IO_L16P_T2_34
K11,14,IOB_X0Y44,LIOB33_X0Y43,IO_L3P_T0_DQS_PUDC_B_14
K12,14,IOB_X0Y43,LIOB33_X0Y43,IO_L3N_T0_DQS_EMCCLK_14
K13,14,IOB_X0Y45,LIOB33_X0Y45,IO_L2N_T0_D03_14
K14,14,IOB_X0Y42,LIOB33_X0Y41,IO_L4P_T0_D04_14
K15,14,IOB_X0Y39,LIOB33_X0Y39,IO_L5N_T0_D07_14
K2,34,IOB_X1Y15,RIOB33_X27Y15,IO_L17N_T2_34
K3,34,IOB_X1Y16,RIOB33_X27Y15,IO_L17P_T2_34
L1,34,IOB_X1Y13,RIOB33_X27Y13,IO_L18N_T2_34
L10,14,IOB_X0Y0,LIOB33_SING_X0Y0,IO_25_14
L11,14,IOB_X0Y38,LIOB33_X0Y37,IO_L6P_T0_FCS_B_14
L12,14,IOB_X0Y37,LIOB33_X0Y37,IO_L6N_T0_D08_VREF_14
L13,14,IOB_X0Y36,LIOB33_X0Y35,IO_L7P_T1_D09_14
L14,14,IOB_X0Y35,LIOB33_X0Y35,IO_L7N_T1_D10_14
L15,14,IOB_X0Y41,LIOB33_X0Y41,IO_L4N_T0_D05_14
M1,34,IOB_X1Y14,RIOB33_X27Y13,IO_L18P_T2_34
M10,14,IOB_X0Y23,LIOB33_X0Y23,IO_L13N_T2_MRCC_14
M13,14,IOB_X0Y34,LIOB33_X0Y33,IO_L8P_T1_D11_14
M14,14,IOB_X0Y32,LIOB33_X0Y31,IO_L9P_T1_DQS_14
M15,14,IOB_X0Y31,LIOB33_X0Y31,IO_L9N_T1_DQS_D13_14
M2,34,IOB_X1Y9,RIOB33_X27Y9,IO_L20N_T3_34
M3,34,IOB_X1Y11,RIOB33_X27Y11,IO_L19N_T3_VREF_34
M4,34,IOB_X1Y12,RIOB33_X27Y11,IO_L19P_T3_34
M7,14,IOB_X0Y12,LIOB33_X0Y11,IO_L19P_T3_D26_14
M8,14,IOB_X0Y11,LIOB33_X0Y11,IO_L19N_T3_D25_VREF_14
M9,14,IOB_X0Y24,LIOB33_X0Y23,IO_L13P_T2_MRCC_14
N1,34,IOB_X1Y5,RIOB33_X27Y5,IO_L22N_T3_34
N10,14,IOB_X0Y20,LIOB33_X0Y19,IO_L15P_T2_DQS_RDWR_B_14
N11,14,IOB_X0Y19,LIOB33_X0Y19,IO_L15N_T2_DQS_DOUT_CSO_B_14
N12,14,IOB_X0Y22,LIOB33_X0Y21,IO_L14P_T2_SRCC_14
N13,14,IOB_X0Y33,LIOB33_X0Y33,IO_L8N_T1_D12_14
N14,14,IOB_X0Y30,LIOB33_X0Y29,IO_L10P_T1_D14_14
N15,14,IOB_X0Y29,LIOB33_X0Y29,IO_L10N_T1_D15_14
N2,34,IOB_X1Y10,RIOB33_X27Y9,IO_L20P_T3_34
N3,34,IOB_X1Y7,RIOB33_X27Y7,IO_L21N_T3_DQS_34
